<http://www.yso.fi/onto/yso/p2762>	terveys
<http://www.yso.fi/onto/yso/p38424>	fyysinen hyvinvointi
<http://www.yso.fi/onto/yso/p1947>	hyvinvointi
<http://www.yso.fi/onto/yso/p1045>	hyvä elämä
<http://www.yso.fi/onto/yso/p15960>	eksistenssi
<http://www.yso.fi/onto/yso/p2851>	taide
<http://www.yso.fi/onto/yso/p5522>	yhteisöllisyys
<http://www.yso.fi/onto/yso/p13671>	kulttuuripolitiikka
<http://www.yso.fi/onto/yso/p27022>	kuolevaisuus (filosofia)
<http://www.yso.fi/onto/yso/p14904>	dekonstruktio
<http://www.yso.fi/onto/yso/p25652>	rakenteellinen väkivalta
