<http://www.yso.fi/onto/yso/p2421>	sanomalehdet
<http://www.yso.fi/onto/yso/p157>	oppimateriaali
<http://www.yso.fi/onto/yso/p12049>	opetusaineisto
<http://www.yso.fi/onto/yso/p5260>	opetuskäyttö
<http://www.yso.fi/onto/yso/p988>	opetusmenetelmät
<http://www.yso.fi/onto/yso/p11216>	koulu (ilmiöt)
<http://www.yso.fi/onto/yso/p4278>	lukutottumukset
<http://www.yso.fi/onto/yso/p8131>	oppilaat
<http://www.yso.fi/onto/yso/p11406>	lukeminen (toiminta)
<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p2070>	mediakasvatus
<http://www.yso.fi/onto/yso/p11304>	kansalaiskasvatus
<http://www.yso.fi/onto/yso/p6445>	viestintäkasvatus
<http://www.yso.fi/onto/yso/p14048>	medialukutaito
<http://www.yso.fi/onto/yso/p10746>	opettajankoulutus
