<http://www.yso.fi/onto/yso/p23102>	physical activeness
<http://www.yso.fi/onto/yso/p22622>	ability to move
<http://www.yso.fi/onto/yso/p252>	mobility
<http://www.yso.fi/onto/yso/p916>	physical training
<http://www.yso.fi/onto/yso/p3482>	differences
<http://www.yso.fi/onto/yso/p21679>	health differences
<http://www.yso.fi/onto/yso/p2433>	senior citizens
<http://www.yso.fi/onto/yso/p16608>	people with mobility limitations
<http://www.yso.fi/onto/yso/p15573>	residential environment
<http://www.yso.fi/onto/yso/p38308>	barriers
<http://www.yso.fi/onto/yso/p38308>	barriers
<http://www.yso.fi/onto/yso/p2771>	outdoor recreation
<http://www.yso.fi/onto/yso/p3706>	walking (motion)
<http://www.yso.fi/onto/yso/p2137>	socioeconomic status
<http://www.yso.fi/onto/yso/p15095>	health enhancing physical activity
