<http://www.yso.fi/onto/yso/p11617>	nuoret
<http://www.yso.fi/onto/yso/p16485>	koululaiset
<http://www.yso.fi/onto/yso/p21292>	yläkoulu
<http://www.yso.fi/onto/yso/p23102>	fyysinen aktiivisuus
<http://www.yso.fi/onto/yso/p13035>	liikuntaharrastus
<http://www.yso.fi/onto/yso/p16544>	koulumatkat
<http://www.yso.fi/onto/yso/p5619>	asenteet
<http://www.yso.fi/onto/yso/p3211>	elämys
<http://www.yso.fi/onto/yso/p820>	odotukset
<http://www.yso.fi/onto/yso/p20879>	ystävät
<http://www.yso.fi/onto/yso/p4363>	perheet
