<http://www.yso.fi/onto/yso/p2240>	tiede
<http://www.yso.fi/onto/yso/p13670>	tiedepolitiikka
<http://www.yso.fi/onto/yso/p2011>	tietoyhteiskunta
<http://www.yso.fi/onto/yso/p2339>	teknologia
<http://www.yso.fi/onto/yso/p1397>	kuluttajat
<http://www.yso.fi/onto/yso/p7903>	innovaatiot
<http://www.yso.fi/onto/yso/p14566>	ideointi
<http://www.yso.fi/onto/yso/p9838>	kaupallistaminen
<http://www.yso.fi/onto/yso/p4230>	kehittäminen
<http://www.yso.fi/onto/yso/p10727>	osallistuminen
<http://www.yso.fi/onto/yso/p1657>	vaikuttaminen
